 Theta Psi Nu P Q
  0.33175218E+01  0.38911307E+00  0.31740015E-12  0.70000000E+01  0.44000000E+02
  0.37196457E+01  0.40528163E+00  0.18347621E-11  0.70000000E+01  0.44000000E+02
  0.20106193E+00  0.31734667E+00  0.46879265E-11  0.70000000E+01  0.44000000E+02
  0.17090264E+01  0.90783922E+00 -0.54095225E-12  0.70000000E+01  0.44000000E+02
  0.48757518E+01  0.85299630E+00 -0.23254351E-12  0.70000000E+01  0.44000000E+02
  0.33426546E+01  0.38934988E+00  0.40252207E-12  0.70000000E+01  0.44000000E+02
  0.30913272E+01  0.38813355E+00 -0.40880096E-11  0.70000000E+01  0.44000000E+02
  0.58810614E+01  0.33040862E+00  0.18262729E-11  0.70000000E+01  0.44000000E+02
  0.22619467E+00  0.31852068E+00  0.10448321E-11  0.70000000E+01  0.44000000E+02
  0.17341591E+01  0.86862701E+00 -0.46032136E-12  0.70000000E+01  0.44000000E+02
  0.49008845E+01  0.81135716E+00 -0.14301736E-12  0.70000000E+01  0.44000000E+02
  0.33677873E+01  0.38963279E+00  0.49137081E-12  0.70000000E+01  0.44000000E+02
  0.31164599E+01  0.38816950E+00  0.59353244E-13  0.70000000E+01  0.44000000E+02
  0.21111503E+01  0.52012514E+00  0.35678281E-11  0.70000000E+01  0.44000000E+02
  0.17592919E+01  0.83133515E+00 -0.33521013E-12  0.70000000E+01  0.44000000E+02
  0.49260173E+01  0.77262317E+00 -0.13177357E-13  0.70000000E+01  0.44000000E+02
  0.25132741E+00  0.31983381E+00  0.11366786E-11  0.70000000E+01  0.44000000E+02
  0.33929201E+01  0.38997100E+00  0.58897286E-12  0.70000000E+01  0.44000000E+02
  0.31415927E+01  0.38822386E+00 -0.73108002E-13  0.70000000E+01  0.44000000E+02
  0.17844246E+01  0.79632392E+00 -0.17426292E-12  0.70000000E+01  0.44000000E+02
  0.49511500E+01  0.73689046E+00  0.11292552E-12  0.70000000E+01  0.44000000E+02
  0.27646015E+00  0.32128771E+00  0.13456993E-11  0.70000000E+01  0.44000000E+02
  0.34180528E+01  0.39037475E+00  0.69933450E-12  0.70000000E+01  0.44000000E+02
  0.31667254E+01  0.38829466E+00 -0.48643680E-12  0.70000000E+01  0.44000000E+02
  0.18095574E+01  0.76370556E+00 -0.13799024E-13  0.70000000E+01  0.44000000E+02
  0.49762828E+01  0.70406768E+00  0.12553409E-12  0.70000000E+01  0.44000000E+02
  0.34431855E+01  0.39085533E+00  0.83402800E-12  0.70000000E+01  0.44000000E+02
  0.31918581E+01  0.38838117E+00 -0.13560056E-11  0.70000000E+01  0.44000000E+02
  0.50014155E+01  0.67397508E+00  0.17794165E-11  0.70000000E+01  0.44000000E+02
  0.18346901E+01  0.73345423E+00  0.69132800E-13  0.70000000E+01  0.44000000E+02
  0.22619467E+01  0.46192879E+00  0.17031181E-11  0.70000000E+01  0.44000000E+02
  0.34683183E+01  0.39142497E+00  0.99324798E-12  0.70000000E+01  0.44000000E+02
  0.50265482E+01  0.64639856E+00  0.39946955E-12  0.70000000E+01  0.44000000E+02
  0.18598229E+01  0.70547109E+00  0.63144789E-13  0.70000000E+01  0.44000000E+02
  0.34934510E+01  0.39209682E+00  0.11937966E-11  0.70000000E+01  0.44000000E+02
  0.18849556E+01  0.67962210E+00  0.18679672E-11  0.70000000E+01  0.44000000E+02
  0.50516810E+01  0.62111821E+00 -0.18367240E-12  0.70000000E+01  0.44000000E+02
  0.35185838E+01  0.39288482E+00  0.14374564E-11  0.70000000E+01  0.44000000E+02
  0.19100883E+01  0.65575973E+00  0.18636131E-11  0.70000000E+01  0.44000000E+02
  0.35437165E+01  0.39380372E+00  0.17344199E-11  0.70000000E+01  0.44000000E+02
  0.50768137E+01  0.59792257E+00  0.26399981E-12  0.70000000E+01  0.44000000E+02
  0.19352211E+01  0.63373506E+00  0.18000041E-11  0.70000000E+01  0.44000000E+02
  0.35688493E+01  0.39486899E+00  0.21070432E-11  0.70000000E+01  0.44000000E+02
  0.19603538E+01  0.61340438E+00  0.40593297E-12  0.70000000E+01  0.44000000E+02
  0.35939820E+01  0.39609675E+00  0.25798158E-11  0.70000000E+01  0.44000000E+02
  0.19854866E+01  0.59463249E+00  0.14075844E-11  0.70000000E+01  0.44000000E+02
  0.51270792E+01  0.55701702E+00 -0.23083734E-13  0.70000000E+01  0.44000000E+02
  0.15582300E+01  0.10760146E+01 -0.57819160E-12  0.70000000E+01  0.44000000E+02
  0.15833627E+01  0.10739207E+01 -0.62583931E-12  0.70000000E+01  0.44000000E+02
  0.36191147E+01  0.47577797E+00 -0.17770106E-08  0.40000000E+01  0.25000000E+02
  0.40212386E+00  0.39905618E+00 -0.10650839E-08  0.40000000E+01  0.25000000E+02
  0.00000000E+00  0.37707185E+00  0.72328715E-09  0.40000000E+01  0.25000000E+02
  0.32169909E+01  0.47414770E+00  0.27497766E-08  0.40000000E+01  0.25000000E+02
  0.80424772E+00  0.46646373E+00 -0.27719134E-08  0.40000000E+01  0.25000000E+02
  0.59061942E+01  0.39573613E+00  0.11614143E-08  0.40000000E+01  0.25000000E+02
  0.28148670E+01  0.47212787E+00 -0.25682129E-08  0.40000000E+01  0.25000000E+02
  0.51522120E+01  0.62306734E+00  0.26065628E-08  0.40000000E+01  0.25000000E+02
  0.36442475E+01  0.47673198E+00 -0.25860548E-08  0.40000000E+01  0.25000000E+02
