 Theta Psi Nu P Q
  0.18095574E+01  0.56502741E+00  0.10276382E-08  0.30000000E+01  0.19000000E+02
  0.51522120E+00  0.24679991E+00  0.85910234E-09  0.30000000E+01  0.19000000E+02
  0.44987607E+01  0.58522797E+00 -0.34463738E-09  0.30000000E+01  0.19000000E+02
  0.13697344E+01  0.57509672E+00 -0.80660077E-09  0.30000000E+01  0.19000000E+02
  0.21237166E+01  0.38825290E+00  0.89067577E-09  0.30000000E+01  0.19000000E+02
  0.52401765E+01  0.36533871E+00  0.89399151E-09  0.30000000E+01  0.19000000E+02
  0.32421236E+01  0.26961195E+00  0.56271176E-09  0.30000000E+01  0.19000000E+02
  0.49385837E+01  0.55323991E+00  0.86554789E-09  0.30000000E+01  0.19000000E+02
  0.18221237E+01  0.55529340E+00  0.96721995E-09  0.30000000E+01  0.19000000E+02
  0.45113271E+01  0.59548833E+00 -0.67551904E-09  0.30000000E+01  0.19000000E+02
  0.13823008E+01  0.58660948E+00 -0.98417545E-09  0.30000000E+01  0.19000000E+02
  0.36819466E+01  0.28976556E+00  0.85684988E-09  0.30000000E+01  0.19000000E+02
  0.52527429E+01  0.36027887E+00  0.97985148E-09  0.30000000E+01  0.19000000E+02
  0.21362830E+01  0.38369951E+00  0.75599390E-09  0.30000000E+01  0.19000000E+02
  0.49511500E+01  0.54241014E+00  0.10014342E-08  0.30000000E+01  0.19000000E+02
  0.45238934E+01  0.60584714E+00 -0.91752182E-09  0.30000000E+01  0.19000000E+02
  0.13948671E+01  0.59825106E+00 -0.10226468E-08  0.30000000E+01  0.19000000E+02
  0.32546900E+01  0.26976884E+00  0.71770059E-09  0.30000000E+01  0.19000000E+02
  0.18346901E+01  0.54576817E+00  0.79856327E-09  0.30000000E+01  0.19000000E+02
  0.45364598E+01  0.61625864E+00 -0.10251427E-08  0.30000000E+01  0.19000000E+02
  0.52653093E+01  0.35538353E+00  0.10224840E-08  0.30000000E+01  0.19000000E+02
  0.14074335E+01  0.60996236E+00 -0.90168822E-09  0.30000000E+01  0.19000000E+02
  0.36945130E+01  0.29097109E+00  0.94810628E-09  0.30000000E+01  0.19000000E+02
  0.49637164E+01  0.53183141E+00  0.10217521E-08  0.30000000E+01  0.19000000E+02
  0.21488494E+01  0.37929496E+00  0.58609831E-09  0.30000000E+01  0.19000000E+02
  0.18472565E+01  0.53646403E+00  0.54784097E-09  0.30000000E+01  0.19000000E+02
  0.45490262E+01  0.62666699E+00 -0.96834507E-09  0.30000000E+01  0.19000000E+02
  0.32672564E+01  0.26994373E+00  0.84578572E-09  0.30000000E+01  0.19000000E+02
